Program/Agency Name,Project Name,Sub-Project Name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,Total 10 Year,Ward Number,Ward,Category
Toronto Public Library,Pleasant View Library Renovation & Expansion,Pleasant View Library Design,368,0,0,0,0,0,0,0,0,0,368,17,Don Valley North,Growth Related
Exhibition Place,ENERCARE CENTRE (formerly DEC),Replace Sprinkler System Booster Pump,130,0,0,0,0,0,0,0,0,0,130,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Loading Dock Rehabilitation,350,0,0,0,0,0,0,0,0,0,350,10,Spadina-Fort York,State of Good Repair
Exhibition Place,BEANFIELD CENTRE (formerly ALLSTREAM CENTRE),Danfos VFD,75,0,0,0,0,0,0,0,0,0,75,10,Spadina-Fort York,State of Good Repair
Exhibition Place,"PARKS, PARKING LOTS AND ROADS",2023 Reduction Target -Build Curb Stop Replacement,-50,0,0,0,0,0,0,0,0,0,-50,10,Spadina-Fort York,State of Good Repair
Exhibition Place,OTHER BUILDINGS,Emergency Comnmand Centre,100,0,0,0,0,0,0,0,0,0,100,10,Spadina-Fort York,State of Good Repair
Exhibition Place,OTHER BUILDINGS,2023 Reduction Target -Public Art & Monument Colle,-50,0,0,0,0,0,0,0,0,0,-50,10,Spadina-Fort York,State of Good Repair
Exhibition Place,OTHER BUILDINGS,2023 Reduction Target -Emergency Command Centre,-100,0,0,0,0,0,0,0,0,0,-100,10,Spadina-Fort York,State of Good Repair
Toronto Public Library,Dawes Road Neighbourhood Library,Dawes Road Library Design & Construction (Growth),0,1869,16,267,4045,0,0,0,0,0,6197,19,Beaches-East York,Growth Related
Toronto Public Library,Dawes Road Neighbourhood Library,Dawes Road Library Construction (Growth) scope cha,0,0,0,400,0,0,0,0,0,0,400,19,Beaches-East York,Growth Related
Toronto Public Library,Technology Asset Management Program,Technology Asset Management Prg scope change,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,State of Good Repair
Toronto Public Library,Bridlewood Relocation and Expansion,Bridlewood Relocation and Expansion,0,83,0,0,0,0,0,0,0,0,83,22,Scarborough-Agincourt,Growth Related
Toronto Public Library,Lillian H Smith Renovation & Expansion,Lillian H Smith Renovation-Design (SOGR),200,215,884,910,0,0,0,0,0,0,2209,11,University-Rosedale,Growth Related
Toronto Public Library,MB Renovation Pgm Accessibility Retrofit,MB Accessibility Retrofit,14,168,0,0,0,0,0,0,0,0,182,CW,City Wide,Legislated
Toronto Public Library,TRL Renvoation,TRL Renovation (SOGR),2126,0,0,0,0,0,0,0,0,0,2126,11,University-Rosedale,State of Good Repair
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade - SOGR,0,2800,3500,5846,8605,17852,13614,-403,-17628,-20259,13927,CW,City Wide,State of Good Repair
Toronto Transit Commission,Power Dist./Electric Systems - Various,Power Dist./Electric Systems - Improvement,0,0,254,267,279,291,307,315,320,320,2353,CW,City Wide,Service Improvement and Enhancement
Toronto Transit Commission,Bridges and Tunnels - Various,Bridges and Tunnels - SOGR,0,0,0,13954,14330,13979,14228,14278,14011,20700,105480,CW,City Wide,State of Good Repair
Toronto Transit Commission,Other Maintenance Equipment,Other Maintenance Equipment - SOGR,0,0,0,671,492,493,504,509,510,514,3693,CW,City Wide,State of Good Repair
Toronto Transit Commission,Surface Track,Surface Track - SOGR,0,0,0,0,0,0,0,0,16464,27802,44266,CW,City Wide,State of Good Repair
Toronto Transit Commission,Purchases of Buses,Purchase of Buses - SI,0,0,0,0,611,611,611,611,611,0,3055,CW,City Wide,Service Improvement and Enhancement
Toronto Transit Commission,Traction Power - Various,Traction Power - SOGR,0,0,23291,23388,23594,28115,28822,4680,5265,0,137155,CW,City Wide,State of Good Repair
Toronto Transit Commission,Environmental Programs,Environmental Programs - Legislated,0,0,0,0,0,0,0,0,7900,6200,14100,CW,City Wide,Legislated
Toronto Transit Commission,Purchases of Buses,Purchases of Buses,0,0,17504,7092,0,0,0,0,0,0,24596,CW,City Wide,State of Good Repair
Toronto Transit Commission,Purchase of Streetcars,Purchase of Streetcars - GE,51137,193428,5760,0,0,0,0,0,0,0,250325,CW,City Wide,Growth Related
Toronto Transit Commission,Finishes - Various,Finishes - SOGR,8758,0,0,0,0,0,0,0,0,0,8758,CW,City Wide,State of Good Repair
Toronto Transit Commission,Yonge Bloor Capacity Improvements,Yonge Bloor Capacity Improvements,6816,8880,29992,41366,50775,70585,81678,59379,51736,46063,447270,11,University-Rosedale,Service Improvement and Enhancement
Toronto Transit Commission,Yonge Bloor Capacity Improvements,Yonge Bloor Capacity Improvements,6816,8880,29992,45127,58125,81279,91287,66365,57823,52376,498070,11,University-Rosedale,Service Improvement and Enhancement
Toronto Transit Commission,Communications - Various,Communication -Improvement,751,0,0,0,0,0,0,0,0,0,751,CW,City Wide,Service Improvement and Enhancement
Spadina Subway Extension,Spadina Subway Extension VCC,Spadina Subway Extension,0,5098,0,0,0,0,0,0,0,0,5098,CW,City Wide,Growth Related
Toronto Transit Commission,Line 2 Capacity Enhancement,Line 2 Capacity Enhancement- SI,0,0,0,0,0,80599,81958,9293,46891,-236923,-18182,CW,City Wide,Service Improvement and Enhancement
Toronto Transit Commission,Fire Ventilation Upgrade,Fire Ventilation Upgrade- H&S,21525,29318,22883,16743,12805,21351,20259,11003,0,0,155887,CW,City Wide,Health and Safety
Toronto Transit Commission,Transit Shelters & Loops,Transit Shelters & Loops - SOGR,500,0,0,131,0,0,0,0,0,0,631,CW,City Wide,State of Good Repair
Toronto Transit Commission,Transit Shelters & Loops,2023 Reduction Target - Shelters & Loops - SOGR,-500,0,0,0,0,0,0,0,0,0,-500,CW,City Wide,State of Good Repair
Toronto Transit Commission,Yards and Roads - Various,2023 Reduction Target - Yards and Roads - Legis,-290,0,0,0,0,0,0,0,0,0,-290,CW,City Wide,Legislated
Toronto Transit Commission,Tools and Shop Equipment,Tools and Shop Equipment - SOGR,0,1030,0,0,0,0,0,0,0,0,1030,CW,City Wide,State of Good Repair
Toronto Transit Commission,Tools and Shop Equipment,Tools and Shop Equipment - SOGR,0,7896,0,0,0,0,0,0,0,0,7896,CW,City Wide,State of Good Repair
Toronto Transit Commission,Communications - Various,Communications - SOGR,9624,8609,0,0,0,0,0,0,0,0,18233,CW,City Wide,State of Good Repair
Toronto Transit Commission,Bus Overhaul Program,Bus Overhaul Program - SOGR,23585,0,0,0,0,0,0,0,0,0,23585,CW,City Wide,State of Good Repair
Toronto Transit Commission,Finishes - Various,Finishes - SOGR,15225,38499,7495,800,800,37820,15324,13550,12500,0,142013,CW,City Wide,State of Good Repair
Toronto Transit Commission,Easier Access Phase II & III,Easier Access Phase III - Legislated,35087,50917,37090,34236,0,0,0,0,0,0,157330,CW,City Wide,Legislated
Toronto Transit Commission,Easier Access Phase II & III,Easier Access Phase III - Legislated,2866,14472,20847,26607,-15033,0,0,0,0,0,49759,CW,City Wide,Legislated
Toronto Transit Commission,Communications - Various,2023 Reduction Target - Communications - Legis,-350,0,0,0,0,0,0,0,0,0,-350,CW,City Wide,Legislated
Toronto Transit Commission,Other Bldgs & Structures Projects,Other Buildings & Structures Projects - SOGRS,-14298,35658,52578,48110,18883,11296,110615,0,0,0,262842,CW,City Wide,State of Good Repair
Toronto Transit Commission,Other Bldgs & Structures Projects,Other Buildings & Structures Projects - SOGRS,18036,0,0,0,0,0,0,0,0,0,18036,CW,City Wide,State of Good Repair
Toronto Transit Commission,Bridges and Tunnels - Various,Bridges and Tunnels - SOGR,16567,21779,22010,0,0,0,0,0,0,0,60356,CW,City Wide,State of Good Repair
Toronto Transit Commission,Bridges and Tunnels - Various,2023 Reduction Target - Bridges and Tunnels - SOGR,-3352,0,0,0,0,0,0,0,0,0,-3352,CW,City Wide,State of Good Repair
Toronto Transit Commission,Information Technology System-Infrastructure,Information Tech. System-Infrastructure - SOGR,32095,68760,49719,30721,-2828,0,0,0,0,0,178467,CW,City Wide,State of Good Repair
Toronto Transit Commission,Information Technology System-Infrastructure,Information Tech. Systems-Infrastructure SI,0,0,0,1242,0,0,0,0,0,0,1242,CW,City Wide,Service Improvement and Enhancement
Toronto Transit Commission,Other Service Planning,2023 Reduction Target - Other Serv Planning - SOGR,-3600,0,0,0,0,0,0,0,0,0,-3600,CW,City Wide,State of Good Repair
Toronto Transit Commission,Fare Handling Equipment,Fare Handling Equipment - SOGR,4245,975,975,618,618,618,618,618,0,0,9285,CW,City Wide,State of Good Repair
Toronto Transit Commission,Streetcar Overhaul Program,Streetcar Overhaul Program - Service Improvement,491,1766,0,0,0,0,0,0,0,0,2257,CW,City Wide,Service Improvement and Enhancement
Toronto Transit Commission,Streetcar Overhaul Program,Streetcar Overhaul Program- H&S,3219,4396,4965,3597,-8732,0,0,0,0,0,7445,CW,City Wide,Health and Safety
Toronto Transit Commission,Subway Car Overhaul Program,2023 Reduction Target - Subway OH Program - SOGR,-3575,0,0,0,0,0,0,0,0,0,-3575,CW,City Wide,State of Good Repair
Toronto Transit Commission,Fare System,Fare System - Expansion,2128,1252,299,0,0,0,0,0,0,0,3679,CW,City Wide,Growth Related
Toronto Transit Commission,Fare System,Fare System - Expansion,495,0,0,0,0,0,0,0,0,0,495,CW,City Wide,Growth Related
Toronto Transit Commission,Warehouse Consolidation,Warehouse Consolidation - SOGR,-51,0,0,0,0,0,0,0,0,0,-51,CW,City Wide,State of Good Repair
Toronto Transit Commission,Other Maintenance Equipment,Other Maintenance Equipment - SOGR S2,1025,615,-285,0,0,0,0,0,0,0,1355,CW,City Wide,State of Good Repair
Toronto Transit Commission,Equipment - Various,Equipment -SOGRS,-10859,0,0,0,0,0,0,0,0,0,-10859,CW,City Wide,State of Good Repair
Toronto Transit Commission,Equipment - Various,2023 Reduction Target - Equipment - LEGIS,-199,0,0,0,0,0,0,0,0,0,-199,CW,City Wide,Legislated
Toronto Transit Commission,Automotive Non-Revenue Vehicles,Automotive Non-Revenue Vehicles - SOGR,0,0,0,0,0,34185,0,0,0,0,34185,CW,City Wide,State of Good Repair
Toronto Transit Commission,Automotive Non-Revenue Vehicles,Automotive Non-Revenue Vehicles - SI,3450,0,0,0,0,0,0,0,0,0,3450,CW,City Wide,Service Improvement and Enhancement
Toronto Transit Commission,Subway Track,Subway Track - SOGR,0,19653,0,0,0,0,0,0,0,0,19653,CW,City Wide,State of Good Repair
Toronto Transit Commission,Other Service Planning,Other Service Planning - Improvement,6255,0,0,0,0,0,0,0,0,-118,6137,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - INGRAM,0,0,0,0,0,0,0,0,0,217,217,CW,City Wide,State of Good Repair
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - GENERAL,0,0,0,0,0,105,124,841,866,1118,3054,CW,City Wide,State of Good Repair
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,ISLAND PUMPING STATIONS,0,0,0,0,160,590,840,5,5,0,1600,CW,City Wide,State of Good Repair
Solid Waste Management,Green Lane Landfill Development,Site Services/Final Cover/Storm Future Years,0,0,0,0,0,224,0,0,0,0,224,CW,City Wide,Legislated
Wastewater Program,WET WEATHER FLOW MP,10YR WWFMMP IMPLEMENTATION,0,0,143,179,0,0,0,0,86,49,457,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,WET WEATHER FLOW MP,10YR WWFMMP IMPLEMENTATION,0,0,1857,2321,0,0,0,0,1114,639,5931,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,OPF ASSET MANAGEMENT,DUFFERIN OPF,0,0,0,0,0,1518,942,314,188,126,3088,CW,City Wide,State of Good Repair
Water Program,TRANSMISSION R&R,RESERVOIR REHAB - FUTURE - CONSTRUCTION,0,0,0,0,5000,8750,12000,10000,3000,0,38750,CW,City Wide,State of Good Repair
Water Program,TRANSMISSION R&R,PS REHAB - FUTURE - CONSTRUCTION,0,0,0,100,11000,13000,9500,7000,3000,0,43600,CW,City Wide,State of Good Repair
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,PROCESS & FACILITY UPGRADE - FUTURE,0,0,0,0,500,500,500,500,500,500,3000,CW,City Wide,State of Good Repair
Wastewater Program,SEWER ASSET PLANNING,PPD - INFRASTRUCTURE PLANNING STUDIES - 10 YR PLAN,0,150,150,150,150,150,150,150,150,150,1350,CW,City Wide,Growth Related
Solid Waste Management,Diversion Systems Bins,Replacement Waste Bins Single Family - Change,0,0,0,0,0,0,0,0,0,3000,3000,CW,City Wide,Service Improvement and Enhancement
Toronto Parking Authority,Purolator Installations X4,Purolator Installations X4,170,120,0,0,0,0,0,0,0,0,290,CW,City Wide,Growth Related
Toronto Parking Authority,EV On-Street Projects,EV Consultants On-Street,3910,1200,0,0,0,0,0,0,0,0,5110,CW,City Wide,Service Improvement and Enhancement
Water Program,TRANSMISSION R&R,TRUNK WM FLUSHING,0,0,0,945,945,1365,105,0,0,0,3360,CW,City Wide,State of Good Repair
Wastewater Program,SWM  TRCA FUNDING,10 YEAR TRCA FUNDING,0,4431,4772,4898,5033,5164,5287,5293,5298,5318,45494,CW,City Wide,Service Improvement and Enhancement
Toronto Parking Authority,4 Year Bike Share Expansion,Electrification Bike Share,1403,990,1320,0,0,0,0,0,0,0,3713,CW,City Wide,Growth Related
Water Program,WT&S PLANTWIDE,STANDBY POWER - FUTURE - CONSTRUCTION,0,0,0,0,530,1378,2226,1802,318,0,6254,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,HUMBER WWTP UPGRADES,DIGESTER CLEANING & REHAB - FUTURE,0,0,1500,7000,7000,7000,7000,5500,0,0,35000,CW,City Wide,State of Good Repair
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DAMAGES NO FAULT GRANT - FUTURE,0,0,0,2000,2000,2000,2000,2000,2000,2000,14000,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,MULTI-CLOSED LANDFILLS,0,0,0,0,3781,2981,2981,3021,3021,3021,18806,CW,City Wide,Legislated
Solid Waste Management,SWM IT Application Initiatives,Cyber Security Initiatives,0,0,0,200,0,0,0,0,0,0,200,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,OPERATIONAL SUPPORT,PORTLANDS BULK STATIONS,0,0,0,6475,0,0,0,0,0,0,6475,CW,City Wide,Service Improvement and Enhancement
Toronto Parking Authority,15 Cliveden Demo and Surface Lot Expansion,Cliveden Demo and Surface Lot Expansion,212,540,0,0,0,0,0,0,0,0,752,2,Etobicoke Centre,Growth Related
Water Program,ENGINEERING,PPFA SALARIES - FUTURE,0,0,0,2361,2432,2505,2580,2657,2737,2819,18091,CW,City Wide,State of Good Repair
Water Program,TRANSMISSION R&R,CAST IRON T/M REPLACEMENT - FUTURE,0,0,0,0,450,6555,21195,44475,56115,38905,167695,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,SCARBOROUGH TS,-901,0,0,0,0,0,0,0,0,0,-901,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENENCE YARD,0,0,0,-68.43,0,0,0,0,0,0,-68.43,CW,City Wide,State of Good Repair
Solid Waste Management,Dufferin Waste Facility Site Improvement,Dufferin Waste Facility Site Improvement 2018-2020,1557,0,0,0,0,0,0,0,0,0,1557,CW,City Wide,State of Good Repair
Solid Waste Management,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,4,4,0,0,0,0,0,0,0,0,8,CW,City Wide,State of Good Repair
Solid Waste Management,OPF ASSET MANAGEMENT,DISCO OPF,625,0,0,0,0,0,0,0,0,0,625,CW,City Wide,State of Good Repair
Solid Waste Management,COLLECTION YARD ASSET MANAGEMENT,CYAM - YONGE,114,0,0,0,0,0,0,0,0,0,114,CW,City Wide,State of Good Repair
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 6,0,0,5849,7427,7427,7427,7427,7125,7185,7411,57278,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,Green Lane Landfill Development,Engineering & Monitoring,225,250,450,0,0,0,0,0,0,0,925,CW,City Wide,Legislated
Solid Waste Management,Green Lane Landfill Development,Site Services/Final Cover/Storm Control,0,0,0,672,0,0,0,0,0,0,672,CW,City Wide,Legislated
Solid Waste Management,Engineering Planning Studies,Engineering Planning Studies - 2021 New,0,-55,0,0,0,0,0,0,0,0,-55,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,BERMONDSEY TS,374,0,0,0,0,0,0,0,0,0,374,CW,City Wide,State of Good Repair
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,KEELE VALLEY,1750,1750,1750,1750,1551,1500,1500,1500,0,0,13051,CW,City Wide,Legislated
Solid Waste Management,Dufferin SSO Facility,Dufferin SSO Facility,1300,0,0,0,0,0,0,0,0,0,1300,CW,City Wide,Growth Related
Solid Waste Management,Biogas Utilization,Biogas Utilization at Dufferin,30,0,0,0,0,0,0,0,0,0,30,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,Biogas Utilization,Biogas Utilization at Dufferin,269,0,0,0,0,0,0,0,0,0,269,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,Biogas Utilization,Biogas Utilization at Disco,-7,2,1,0,0,0,0,0,0,0,-4,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,ORGANICS PROCESSING FACILITY,ORGANIC PROCESSING FACILITY,2051,21446,34450,33107,25055,12503,0,0,0,0,128612,CW,City Wide,Growth Related
Solid Waste Management,ORGANICS PROCESSING FACILITY,ORGANIC PROCESSING FACILITY,-821,-5706,-5506,-5143,-3942,-5003,-303,-303,-292,-292,-27311,CW,City Wide,Growth Related
Solid Waste Management,Perpetual Care of Landfills,Perpetual Care of Landfills-CSW312-16,-224,0,0,0,0,0,0,0,0,0,-224,CW,City Wide,Legislated
Solid Waste Management,Transfer Station Asset Management,Transfer Station Asset Management-CSW361-18,6,6,0,0,0,0,0,0,0,0,12,CW,City Wide,State of Good Repair
Solid Waste Management,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,25,7,3,0,0,0,0,0,0,0,35,CW,City Wide,State of Good Repair
Solid Waste Management,OPF ASSET MANAGEMENT,DISCO OPF,1265,1203,806,554,659,314,1412,0,0,0,6213,CW,City Wide,State of Good Repair
Solid Waste Management,Landfill Capacity Dev/Energy from Waste,Landfill Capacity Dev/Energy from Waste,-990,0,0,0,0,0,0,0,0,0,-990,CW,City Wide,Legislated
Solid Waste Management,SWM IT Application Initiatives,TOwaste Mobile App version 2.0,200,265,0,0,0,0,0,0,0,0,465,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,SWM IT Application Initiatives,Building Automation System Upgrade,0,395,0,0,0,0,0,0,0,0,395,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,SWM IT Application Initiatives,Mobile Data Collector 3 - Waste Auditing/Inspectn,0,131,350,0,0,0,0,0,0,0,481,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,SWM IT Application Initiatives,SWMS Business Intelligence Implementation,100,-200,0,0,0,0,0,0,0,0,-100,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,Disco SSO Facility,Disco SSO Facility,63,0,0,0,0,0,0,0,0,0,63,CW,City Wide,Growth Related
Solid Waste Management,Disco SSO Facility,Disco SSO Facility,-63,0,0,0,0,0,0,0,0,0,-63,CW,City Wide,Growth Related
Solid Waste Management,Long Term Waste Management Strategy,PROMO & EDU / UFRICE / 3RS&MR,2000,1500,1350,1223,0,0,0,0,0,0,6073,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,PERPETUAL CARE OF LANDFILLS,BEARE ROAD,110,110,110,110,110,110,110,110,0,0,880,CW,City Wide,Legislated
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,BERMONDSEY TS,1174,1111,1351,912,323,464,285,250,0,0,5870,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,74,491,388,751,230,-72,-578,-326,531,0,1489,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,278,1849,1458,751,230,-71,-578,-325,530,0,4122,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,COMMISSIONERS TS,-357,-320,-7,791,1387,1038,181,77,372,0,3162,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,TSAM GENERAL,366,402,225,444,491,-31,-167,121,243,2605,4699,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENANCE YARD,-11,-15,-43,-204,-35,102,53,-133,-235,550,29,CW,City Wide,State of Good Repair
Solid Waste Management,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENANCE YARD,-40,-59,-161,-204,-35,102,53,-133,-235,550,-162,CW,City Wide,State of Good Repair
Solid Waste Management,Long Term Waste Management Strategy,Policy Planning Studies,-750,250,250,250,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement
Solid Waste Management,Green Lane Landfill Development,Landfill Gas Control System,724,2931,111,0,890,0,0,0,0,0,4656,CW,City Wide,Legislated
Solid Waste Management,Green Lane Landfill Development,Site Services/Final Cover/Storm Control,0,840,840,448,0,0,0,0,0,0,2128,CW,City Wide,Legislated
Solid Waste Management,Green Lane Landfill Development,Cell Excavation & Base Construction,2622,0,0,0,0,0,0,0,0,0,2622,CW,City Wide,Legislated
Solid Waste Management,Green Lane Landfill Development,BUFFER LAND ACQUSITION,0,0,0,-1902,0,0,0,0,0,0,-1902,CW,City Wide,Legislated
Solid Waste Management,Green Lane Landfill Development,Engineering & Monitoring,0,750,1350,720,0,0,0,0,0,0,2820,CW,City Wide,Legislated
Wastewater Program,TRUNK SEWER SYSTEM,EMERGENCY TRUNK SEWER REPAIRS,350,350,0,0,0,0,0,0,0,0,700,CW,City Wide,State of Good Repair
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN - ENGINEERING,1922,3947,6205,3950,3950,3754,3790,3360,3600,0,34478,CW,City Wide,State of Good Repair
Wastewater Program,NEW SEWER CONSTRUCTION,WATERFRONT SANITARY MASTER SERVICING PLAN IMPLEMEN,10230,1462,945,447,167,0,0,0,0,0,13251,CW,City Wide,Growth Related
Wastewater Program,NEW SEWER CONSTRUCTION,NEW SEWERS,200,0,0,0,0,0,0,0,0,0,200,CW,City Wide,Growth Related
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,M & T PUMPING STATION CRITICAL REPAIRS,622,2075,315,20,0,0,0,0,0,0,3032,CW,City Wide,State of Good Repair
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,"STUDIES, EAs, MASTER PLANS",253,117,55,47,0,0,0,0,0,0,472,CW,City Wide,State of Good Repair
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - PH 1 - OFFLINE STOR TANK AT SHEPPARD/LESLIE,1097,971,961,179,0,0,0,0,0,0,3208,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,HUMBER WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - SOUTH - CONSTRUCTI,151,221,0,0,0,0,0,0,0,0,372,CW,City Wide,State of Good Repair
Wastewater Program,HUMBER WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - SOUTH - CONSTRUCTI,1545,2270,0,0,0,0,0,0,0,0,3815,CW,City Wide,State of Good Repair
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - PH 1 - OFFLINE STORAGE TANK AT SHEPP/LESLIE,-491,708,82,425,0,0,0,0,0,0,724,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,HUMBER WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - SOUTH - CONSTRUCTI,735,-509,0,0,0,0,0,0,0,0,226,CW,City Wide,State of Good Repair
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SPS UPGRADES - GROUP 6,-7984,2665,6304,0,0,0,0,0,0,0,985,CW,City Wide,Legislated
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,ELLIS AND SOUTHPORT,-20,75,1,0,0,0,0,0,0,0,56,CW,City Wide,State of Good Repair
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SPS UPGRADES - GROUP 6,782,652,6,0,0,0,0,0,0,0,1440,CW,City Wide,Legislated
Wastewater Program,HUMBER WWTP UPGRADES,SERVICE REHAB AND UPGRADES,18922,27420,13026,25,0,0,0,0,0,0,59393,CW,City Wide,State of Good Repair
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,AERATION TANK 12 & 13,3301,2559,5294,13572,13572,13572,13972,13467,10180,0,89489,CW,City Wide,Growth Related
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & Waterfront Trunk/CSO Construction - PHASE 1,-505,1938,1789,0,0,0,0,0,0,0,3222,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,SEWER REPLACEMENT PROGRAM,FORCEMAIN REPLACEMENT - PHASE 2,4678,2554,-779,1043,1105,5384,3330,0,0,0,17315,CW,City Wide,State of Good Repair
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLC - 2018 PROGRAM,25,0,0,0,0,0,0,0,0,0,25,CW,City Wide,State of Good Repair
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - SUBWAY EXPANSION,44,114,82,68,68,68,68,46,0,0,558,CW,City Wide,State of Good Repair
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - SUBWAY EXPANSION,531,1386,1716,1432,1432,1432,1432,954,0,0,10315,CW,City Wide,State of Good Repair
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,WATERCOURSE - ENGINEERING,3612,2862,3360,3055,1443,1154,884,525,279,0,17174,CW,City Wide,State of Good Repair
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,INTEGRATED PUMPING STATION (IPS) - ENGINEERING,979,479,222,249,222,213,231,52,7,0,2654,CW,City Wide,State of Good Repair
Wastewater Program,TRUNK SEWER SYSTEM,LOWER SIMCOE CSO,65,1416,210,281,40,7,0,0,0,0,2019,CW,City Wide,Service Improvement and Enhancement
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN REPAIRS - PHASE 1,5349,11300,20816,0,0,0,0,0,0,0,37465,CW,City Wide,State of Good Repair
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,CEPA COMPLIANCE - CL NOTICE - HCTP,-2888,2829,-9,4,0,0,0,0,0,0,-64,CW,City Wide,Legislated
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN - ENGINEERING,2909,-1493,-2265,-50,-50,-50,-80,90,100,1034,145,CW,City Wide,State of Good Repair
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN REPAIRS - PHASE 1,12131,-930,-11017,0,0,0,0,0,0,0,184,CW,City Wide,State of Good Repair
Wastewater Program,SEWER ASSET PLANNING,SEWER SYSTEM INSPECTION,12172,12254,0,0,0,0,0,0,0,0,24426,CW,City Wide,State of Good Repair
Wastewater Program,SEWER ASSET PLANNING,SEWER SYSTEM INSPECTION,2268,0,0,0,0,0,0,0,0,0,2268,CW,City Wide,State of Good Repair
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,FERROUS UPGRADES,17,0,0,0,0,0,0,0,0,0,17,CW,City Wide,State of Good Repair
