Program/Agency Name,Project Name,Sub-Project Name,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,total_10years,Ward Number,Ward,Category
Wastewater Program,HUMBER WWTP UPGRADES,MESI UPGRADES - FUTURE,0,0,0,0,350,350,350,350,350,350,2100,CW,City Wide,State of Good Repair C03
Water Program,WATER EFFICIENCY PROGRAM,WEP - FUTURE -ICI,0,0,0,218,221,224,227,230,234,237,1591,CW,City Wide,Growth Related C05
Water Program,RL CLARK W.T.P. R&R,FILTER MEDIA,0,0,0,200,0,0,0,0,0,0,200,CW,City Wide,State of Good Repair C03
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,NETWORK IMPROVEMENTS - 10 YEAR,0,650,740,960,960,960,960,960,960,960,8110,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,DCW - HRT - CONSTRUCTION,0,0,0,0,0,4079,4652,4652,4652,4652,22687,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SEWER SYSTEM REHABILITATION,10 YEAR SEWER REHABILITATION,0,1166,11890,51530,64025,71065,74625,74150,73580,71860,493891,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER SYSTEM REHABILITATION,HIGH PRIORITY SEWER REHAB - FUTURE,0,0,0,3600,4000,4000,4000,4000,4000,4000,27600,CW,City Wide,State of Good Repair C03
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,CRITICAL REPAIRS - FUTURE,0,110,40,120,540,20,130,20,20,20,1020,CW,City Wide,State of Good Repair C03
Wastewater Program,BASEMENT FLOODING RELIEF,SOUTH WEST SCARBOROUGH STORM RELIEF,0,21256,26021,26021,25914,15950,4245,0,0,0,119407,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,ROCKCLIFFE CONTRIBUTION,0,0,0,13730,13730,13730,13730,13735,0,0,68655,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & Waterfront Trunk/CSO Construction - PHASE 2,0,0,0,0,154,537,537,358,3060,5081,9727,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SWM  TRCA FUNDING,10 YEAR TRCA FUNDING,0,368,378,388,398,407,408,408,410,410,3575,CW,City Wide,Service Improvement and Enhancement C04
Water Program,TRANSMISSION R&R,RESERVOIR REHAB - FUTURE - CONSTRUCTION,0,0,0,5000,8750,14000,10000,3000,0,0,40750,CW,City Wide,State of Good Repair C03
Water Program,DISTRICT WATERMAINS - NEW,NEW WM - 10 YEAR,0,0,0,200,200,200,200,200,200,200,1400,CW,City Wide,Growth Related C05
Water Program,TRANSMISSION R&R,PS REHAB - FUTURE - CONSTRUCTION,0,0,100,11000,13000,10500,7000,3000,0,0,44600,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Green Lane Landfill Development,Site Services/Final Cover/Storm Control,840,840,448,0,0,0,0,0,0,0,2128,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,BUFFER LAND ACQUSITION,0,0,1902,0,0,0,0,0,0,0,1902,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Landfill Gas Control System,1642,667,0,0,0,0,0,0,0,0,2309,CW,City Wide,Legislated C02
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,0,-348.36,0,0,0,0,0,0,0,0,-348.36,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,TSAM GENERAL,0,-159.48,0,0,0,0,0,0,0,0,-159.48,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENENCE YARD,0,0,-68.43,0,0,0,0,0,0,0,-68.43,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,25,9,0,0,0,0,0,0,0,0,34,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Management-CSW361-18,6,0,0,0,0,0,0,0,0,0,6,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Managemnet-2017,-30,74,0,0,0,0,0,0,0,0,44,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Transfer Station Asset Management,Transfer Station Asset Management-CSW361-18,-4,0,0,0,0,0,0,0,0,0,-4,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,OPF ASSET MANAGEMENT,DUFFERIN OPF,-168,-386,143,-67,1605,828,456,224,120,30,2785,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,OPF ASSET MANAGEMENT,SALARY BENEFIT & OTHER RECOVERY - OPF,1,1,2,2,244,244,244,244,244,244,1470,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Diversion Facilities Asset Management,Diversion Facilities Asset Management-2018,-100,0,0,0,0,0,0,0,0,0,-100,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Green Lane Landfill Development,Engineering & Monitoring,750,1350,0,0,0,0,0,0,0,0,2100,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Landfill Gas Control System,0,0,356,0,0,0,0,0,0,0,356,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Engineering & Monitoring,0,0,720,0,0,0,0,0,0,0,720,CW,City Wide,Legislated C02
Solid Waste Management Services,Green Lane Landfill Development,Landfill Gas Control System,1642,667,356,0,0,0,0,0,0,0,2665,CW,City Wide,Legislated C02
Solid Waste Management Services,SWM IT Application Initiatives,SWMS IT APPLICATION INITIATIVES GENERAL,859,758,773,788,804,821,837,854,0,0,6494,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Cyber Security Initiatives,0,70,0,0,0,0,0,0,0,0,70,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,"Business Intelligence 4.0-Cntrct Data, Maximo ect",-200,-489,-56,0,0,0,0,0,0,0,-745,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Cyber Security Initiatives,0,0,200,0,0,0,0,0,0,0,200,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,SWM IT Application Initiatives,Mobile Data Collector 2 - EH&SC assessments,-153,-199,352,0,0,0,0,0,0,0,0,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,950,706,447,956,873,1042,375,0,0,0,5349,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,VICTORIA PARK TS,491,388,751,230,-72,-578,-326,531,0,0,1415,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,SCARBOROUGH TS,269,381,-288,-601,117,681,-585,1273,0,0,1247,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,TSAM GENERAL,252,437,1245,1544,1495,2269,1000,0,0,0,8242,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,COMMISSIONERS TS,-320,-7,791,1387,1038,181,77,372,0,0,3519,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,BERMONDSEY TS,-37,195,682,483,162,-214,-132,360,551,0,2050,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,DISCO TS,-151,-147,20,28,-198,-111,91,-32,444,0,-56,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,TSAM GENERAL,1512,847,444,491,-31,-167,121,243,2605,0,6065,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN MAINTENANCE YARD,-59,-161,-204,-35,102,53,-133,-235,550,0,-122,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,DUFFERIN TS,-1492,877,1376,1663,2015,1305,1047,600,1273,1945,10609,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,SCARBOROUGH TS,63,-52,1138,1156,1329,1439,1264,1190,925,2728,11180,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,SCARBOROUGH TS,-63,-200,1139,1155,1330,1440,1264,1190,925,2727,10907,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - YONGE,23,8,-39,-34,112,167,308,164,90,22,821,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Long Term Waste Management Strategy,Circular Economy and Innovation,1287,782,782,0,0,0,0,0,0,0,2851,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Biogas Utilization,Biogas Utilization at Disco,0,1,0,0,0,0,0,0,0,0,1,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Long Term Waste Management Strategy,EXTENDED PRODUCER RESPONSIBILITY TRANSITION,1000,0,0,0,0,0,0,0,0,0,1000,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Long Term Waste Management Strategy,Policy Planning Studies,250,250,250,0,0,0,0,0,0,0,750,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,Engineering Planning Studies,Engineering Planning Studies - 2021 New,243,63,128,0,0,0,0,0,0,0,434,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,COMMISSIONERS TS,395,253,505,71,15,534,250,0,0,0,2023,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,TRANSFER STATION ASSET MANAGEMENT,INGRAM TS,-57,-720,793,995,443,266,114,351,0,0,2185,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Perpetual Care of Landfills,Perpetual Care of Landfills-CSW312-18,-601,313,0,0,0,0,0,0,0,0,-288,CW,City Wide,Legislated C02
Solid Waste Management Services,PERPETUAL CARE OF LANDFILLS,BROCK WEST,-450,0,0,0,0,0,0,0,0,0,-450,CW,City Wide,Legislated C02
Solid Waste Management Services,PERPETUAL CARE OF LANDFILLS,BEARE ROAD,1500,128,128,290,290,163,168,173,0,0,2840,CW,City Wide,Legislated C02
Solid Waste Management Services,ORGANICS PROCESSING FACILITY,ORGANIC PROCESSING FACILITY,-5706,-5506,-5143,-3942,-5003,-303,-303,-292,-292,0,-26490,CW,City Wide,Growth Related C05
Solid Waste Management Services,RENEWABLE NATURAL GAS KVL,RNG KVL,245.75,0,0,0,0,0,0,0,0,0,245.75,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,Dufferin Waste Facility Site Improvement,Dufferin Waste Facility Site Improvement 2018-2020,895,4282,5010,50,0,0,0,0,0,0,10237,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,SWMS STRATEGIC INITIATIVES,Rate Revenue Restructuring,250,150,0,0,0,0,0,0,0,0,400,CW,City Wide,Service Improvement and Enhancement C04
Solid Waste Management Services,NEW FLEET,NEW FLEET - 2024,915.84,0,0,0,0,0,0,0,0,0,915.84,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - YONGE,26,-50,65,0,0,0,0,0,0,0,41,CW,City Wide,State of Good Repair C03
Solid Waste Management Services,COLLECTION YARD ASSET MANAGEMENT,CYAM - GENERAL,65,47,0,0,0,0,0,0,0,0,112,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,FACILITY & PROCESS UPGRADES,1000,1250,1250,0,0,0,0,0,0,0,3500,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER SYSTEM REHABILITATION,GROUP 5 SEWAGE PUMPING STATION UPGRADES,15,0,0,0,0,0,0,0,0,0,15,CW,City Wide,Growth Related C05
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,TRANSFORMERS AND SWITCHGEAR,0,0,39,0,0,0,72,36,36,0,183,CW,City Wide,Growth Related C05
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN - ENGINEERING,2069,3940,3900,3900,3704,3710,3450,3700,1034,0,29407,CW,City Wide,State of Good Repair C03
Wastewater Program,NEW SEWER CONSTRUCTION,NEW SEWERS,500,0,0,0,0,0,0,0,0,0,500,CW,City Wide,Growth Related C05
Wastewater Program,OPERATIONAL SUPPORT,EMP MONITORING NEEDS,50,50,0,0,0,0,0,0,0,0,100,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP - ODOUR CONTROL,ODOUR CONTROL UPGRADES - PHASE 1 CONSTR,441,0,0,0,0,0,0,0,0,0,441,CW,City Wide,Legislated C02
Wastewater Program,ASHBRIDGES BAY WWTP - BUILDING SERVICES & SITE DEV,GROVE LANDSCAPING - PHASE 1,5,0,0,0,0,0,0,0,0,0,5,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,WET WEATHER FLOW MP,STORM WATER POND ASSESSMENT & CLEANING,-191,226,338,-113,28,-97,-97,0,0,0,94,CW,City Wide,State of Good Repair C03
Wastewater Program,HIGHLAND CREEK WWTP - ODOUR CONTROL,BIOFILTER SYSTEM UPGRADES,3000,1100,1326,20,17,0,0,0,0,0,5463,CW,City Wide,Legislated C02
Wastewater Program,DON & WATERFRONT TRUNK CSO,Don & Waterfront Trunk/CSO Construction - PHASE 1,4734,1488,0,0,0,0,0,0,0,0,6222,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING -PRELIMINARY DESIGN SERV - PH2,253,426,498,498,498,501,501,501,260,0,3936,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - ENGINEERING,0,0,0,-4,-215,-215,-118,-93,-622,143,-1124,CW,City Wide,State of Good Repair C03
Wastewater Program,STREAM RESTORATION & EROSION CONTROL,HIGHLAND CREEK EROSION CONTROL,450,806,1992,4578,5667,8178,69,69,19,0,21828,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,FORCEMAIN REPLACEMENT - PHASE 2,8775,6342,5552,5552,8884,3330,0,0,0,0,38435,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - SUBWAY EXPANSION,1386,1716,1432,1432,1432,1432,954,0,0,0,9784,CW,City Wide,State of Good Repair C03
Wastewater Program,SEWER REPLACEMENT PROGRAM,SEWER REPLACEMENT - GO RAIL EXPANSION,924,954,954,954,954,477,477,0,0,0,5694,CW,City Wide,State of Good Repair C03
Wastewater Program,TRUNK SEWER SYSTEM,LOWER SIMCOE CSO,0,3550,1775,595,0,0,0,0,0,0,5920,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,GROUND AND FACILITIES,200,200,200,0,0,0,0,0,0,0,600,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,D BUILDING PHASE 2,-2327,-1335,1419,5661,17,0,0,0,0,0,3435,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,REHAB OF GROUNDS & BUILDINGS,-3383,3084,964,442,0,0,0,0,0,0,1107,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,GROUND AND FACILITIES,22,0,0,0,0,0,0,0,0,0,22,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,SECONDARY CLARIFIER CROSS COLLECTOR UPG TANK 2&4,1634,0,0,0,0,0,0,0,0,0,1634,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,ASHBRIDGES BAY WWTP REHAB,OPERATIONS CENTRE - ENGINEERING & CONSTRUCTION,0,250,600,600,4850,10500,12500,4500,150,0,33950,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,NEW SEWER CONSTRUCTION,DOWNSVIEW LANDS EXTERNAL UPGRADES,-2284,-1187,0,0,0,0,0,0,0,0,-3471,CW,City Wide,Growth Related C05
Wastewater Program,NEW SEWER CONSTRUCTION,SHEPPARD SANITARY SEWER AT EAST DON STS,141,0,0,0,0,0,0,0,0,0,141,CW,City Wide,Growth Related C05
Wastewater Program,ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING,P BLDG HEADWORKS UPGRADE,-158,0,0,0,0,0,0,0,0,0,-158,CW,City Wide,State of Good Repair C03
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN - CONSTRUCTION,3000,2560,25060,65030,78030,95060,49560,18515,18515,16451,371781,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SEWER ASSET PLANNING,PPD - INFRASTRUCTURE PLANNING STUDIES,100,0,0,0,0,0,0,0,0,0,100,CW,City Wide,Growth Related C05
Wastewater Program,SEWER ASSET PLANNING,SANITARY CAPACITY ASSESSMENT MODELLING,1320,2970,2310,0,0,0,0,0,0,0,6600,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP UPGRADES,LIQUID TRAIN REPAIRS - PHASE 1,12422,9799,0,0,0,0,0,0,0,0,22221,CW,City Wide,State of Good Repair C03
Wastewater Program,TRUNK SEWER SYSTEM,TRUNK SEWER REHABILITATION - 2014,1486,793,0,0,0,0,0,0,0,0,2279,CW,City Wide,State of Good Repair C03
Wastewater Program,HUMBER WWTP UPGRADES,COMMUNICATION SYSTEM,1200,400,1000,1500,400,15300,19300,13850,250,0,53200,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HUMBER WWTP UPGRADES,FLOOD PROTECTION,-110,306,0,0,0,0,0,0,0,0,196,CW,City Wide,Legislated C02
Wastewater Program,HUMBER WWTP UPGRADES,OPERATIONS CONTROL CENTRE - ENGINEERING,-77,-7,17,0,0,0,0,0,0,0,-67,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HUMBER WWTP UPGRADES,WET WEATHER FLOW,0,0,0,-180,-8820,-9150,400,8000,9650,100,0,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,SPS UPGRADES,-22,-2,0,0,0,0,0,0,0,0,-24,CW,City Wide,Legislated C02
Wastewater Program,SEWAGE PUMPING STATION UPGRADES,FACILITY & PROCESS UPGRADES,250,301,-800,1211,1224,0,0,0,0,0,2186,CW,City Wide,State of Good Repair C03
Wastewater Program,WESTERN BEACHES RETROFIT,WESTERN BEACHES RETROFIT,11166,10236,13509,3273,0,0,0,0,0,0,38184,CW,City Wide,State of Good Repair C03
Wastewater Program,HUMBER WWTP - LIQUID TREATMENT & HANDLING,SECONDARY TREATMENT UPGRADES - NORTH PLANT - ENG,264,1965,2648,1965,3922,4902,4902,4670,4642,511,30391,CW,City Wide,State of Good Repair C03
Wastewater Program,HIGHLAND CREEK WWTP - SOLIDS & GAS HANDLING,HEAT AND ASH RECOVERY PROJECT - ENG,200,650,250,0,0,600,3100,3500,2800,950,12050,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP - SOLIDS & GAS HANDLING,BMP IMPLEMENTATION & ENHANCEMENTS - ENGINEERING,400,225,218,240,161,108,38,7,4,0,1401,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,HIGHLAND CREEK WWTP - SOLIDS & GAS HANDLING,BMP IMPLEMENTATION & ENHANCEMENTS - ENGINEERING,2950,2925,2832,3110,2089,1408,492,93,46,0,15945,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 4 (ENGINEERING),-969,-355,0,0,0,0,0,0,0,0,-1324,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,DISINFECTION SYSTEM CONSTRUCTION,4021,11,0,0,0,0,0,0,0,0,4032,CW,City Wide,Legislated C02
Wastewater Program,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,OUTFALL ENGINEERING,-134,-100,402,0,0,0,0,0,0,0,168,CW,City Wide,Legislated C02
Wastewater Program,ASHBRIDGES BAY WWTP - EFFLUENT SYSTEM,OUTFALL CONSTRUCTION,-243,-20,218,0,0,0,0,0,0,0,-45,CW,City Wide,Legislated C02
Wastewater Program,EQUIPMENT REPLACEMENT & REHABILITATION,EQUIPMENT REPLACEMENT,1074,38,0,0,0,0,0,0,0,0,1112,CW,City Wide,State of Good Repair C03
Wastewater Program,EQUIPMENT REPLACEMENT & REHABILITATION,EQUIPMENT REPLACEMENT,-920,63,1240,0,0,0,0,0,0,0,383,CW,City Wide,State of Good Repair C03
Wastewater Program,ENGINEERING,CONSULTING FEES,-475,275,-61,1,4,19,18,1,1,0,-217,CW,City Wide,State of Good Repair C03
Wastewater Program,ENGINEERING,TW SALARIES,-370,-82,5136,0,0,0,0,0,0,0,4684,CW,City Wide,State of Good Repair C03
Wastewater Program,ASHBRIDGES BAY WWTP - SOLIDS & GAS HANDLING,BIOSOLIDS  PELLETIZER RETROFIT,400,400,400,400,400,400,400,400,400,0,3600,CW,City Wide,State of Good Repair C03
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 4 (ENGINEERING),142,2,0,0,0,0,0,0,0,0,144,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 4 (ENGINEERING),1233,1384,1305,1243,0,0,0,0,0,0,5165,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DESIGN - GROUP 5,18697,17725,8301,10356,8832,8912,9769,883,1232,0,84707,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BASEMENT FLOODING DAMAGES NO FAULT GRANT,2000,2000,0,0,0,0,0,0,0,0,4000,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BF TUNNEL - CONSTRUCTION - PH 3,-9635,4085,7428,-2577,3714,0,0,0,0,0,3015,CW,City Wide,Service Improvement and Enhancement C04
Wastewater Program,BASEMENT FLOODING RELIEF,BF TUNNEL - CONSTRUCTION,-1095,13688,7450,596,0,0,0,0,0,0,20639,CW,City Wide,Service Improvement and Enhancement C04
Water Program,DIST WATER SERVICE REPAIR,2018 WATER SERVICE REPLACEMENT - SOGR,682,0,0,0,0,0,0,0,0,0,682,CW,City Wide,Legislated C02
Water Program,DIST WATER SERVICE REPAIR,2018 WATER SERVICE REPLACEMENT - SOGR,-682,306,0,0,0,0,0,0,0,0,-376,CW,City Wide,Legislated C02
Water Program,DIST WATER SERVICE REPAIR,WATER SERVICE REPAIR - LEAD PROGRAM,414,211,0,0,0,0,0,0,0,0,625,CW,City Wide,Legislated C02
Water Program,DIST WATER SERVICE REPAIR,WSR CUT REPAIR,-2876,1663,4510,0,0,0,0,0,0,0,3297,CW,City Wide,State of Good Repair C03
Water Program,ENGINEERING STUDIES,ENERGY EFFICIENCY IMPLEMENTATION,50,50,55,0,0,0,0,0,0,0,155,CW,City Wide,Service Improvement and Enhancement C04
Water Program,LAWRENCE ALLAN REVITALIZATION PLAN,LAWRENCE ALLAN REVITALIZATION PLAN - EXTERNAL,0,4000,4000,2132,0,0,0,0,0,0,10132,CW,City Wide,Growth Related C05
Water Program,LAWRENCE ALLAN REVITALIZATION PLAN,LARP - INTERNAL - PHASE 2,3766,3780,1520,338,0,0,0,0,0,0,9404,CW,City Wide,Growth Related C05
Water Program,WT&S PLANTWIDE,UV DISINFECTION - ISLAND WTP - ENGINEERING,499,400,400,350,210,60,24,0,0,0,1943,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WT&S PLANTWIDE,STANDBY POWER - PHASE 2 - CONSTRUCTION,4475,502,430,860,14329,18627,13612,2866,0,0,55701,CW,City Wide,Service Improvement and Enhancement C04
Water Program,BUSINESS SYSTEM INFRASTRUCTURE - PW,SCADA SOFTWARE,580,100,100,0,0,0,0,0,0,0,780,CW,City Wide,Service Improvement and Enhancement C04
Water Program,TRUNK WATERMAIN EXPANSION,JOS - WM from Scar PS to St. Clair & Midl (CONST),19,0,0,0,0,0,0,0,0,0,19,CW,City Wide,Growth Related C05
Water Program,DISTRICT WATERMAINS - NEW,NEW WATERMAIN,500,300,0,0,0,0,0,0,0,0,800,CW,City Wide,Growth Related C05
Water Program,WATER SUSTAINABILITY PROGRAM,STANDBY POWER - ROSEHILL,50,0,0,0,0,0,0,0,0,0,50,CW,City Wide,Service Improvement and Enhancement C04
Water Program,TRANSMISSION R&R,ROSEHILL RESERVOIR,252,0,0,0,0,0,0,0,0,0,252,CW,City Wide,State of Good Repair C03
Water Program,PW ENGINEERING,PLANNING STUDIES,650,250,350,0,0,0,0,0,0,0,1250,CW,City Wide,State of Good Repair C03
Water Program,FJ HORGAN W.T.P. R&R,RAW WATER PUMP UPGRADES,1131,0,0,0,0,0,0,0,0,0,1131,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REHABILITATION,HYDRANT & VALVE REPAIR,584,0,0,0,0,0,0,0,0,0,584,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REHABILITATION,CUT REPAIR,972,490,0,0,0,0,0,0,0,0,1462,CW,City Wide,State of Good Repair C03
Wastewater Program,HIGHLAND CREEK WWTP - BUILDING SERV & SITE DEV,HIGHLAND CREEK WWTP - HCTP Bldg Rehab and Improv,23674,4040,3550,4200,8934,5500,202,50,50,0,50200,CW,City Wide,State of Good Repair C03
Water Program,BUSINESS IT PROJECTS,ENTERPRISE WORK MANAGEMENT SYSTEM PROJECT,-85,1050,900,0,0,0,0,0,0,0,1865,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WATER EFFICIENCY PROGRAM,ICI INDOOR WATER AUDIT,0,180,180,0,0,0,0,0,0,0,360,CW,City Wide,Growth Related C05
Water Program,PW ENGINEERING,CAPITAL PROGRAMMING & FACILITY ASSET PLANNING,1114,0,0,0,0,0,0,0,0,0,1114,CW,City Wide,State of Good Repair C03
Water Program,FJ HORGAN W.T.P. R&R,OFFICE RENOVATION,-137,-222,-1440,1245,590,5,10,0,0,0,51,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REHABILITATION,WATERMAIN STRUCTURAL LINING,39695,26766,10350,149,60,0,0,0,0,0,77020,CW,City Wide,State of Good Repair C03
Water Program,DIST W/M REHABILITATION,CATHODIC PROTECTION,-2029,4351,3700,750,500,0,0,0,0,0,7272,CW,City Wide,State of Good Repair C03
Water Program,NEW SERVICE CONNECTIONS,NEW SERVICE CONNECTIONS - SITE SERVICING,-4209,33273,2547,0,0,0,0,0,0,0,31611,CW,City Wide,Growth Related C05
Water Program,HORGAN TRUNK MAIN EXPANSION,DOWNSVIEW MAIN (KEELE PS TO DOWNSVIEW) CONST,0,8304,0,0,0,0,0,0,0,0,8304,CW,City Wide,Growth Related C05
Water Program,WATER SUSTAINABILITY PROGRAM,STANDBY POWER - ROSEHILL,-3,0,0,0,0,0,0,0,0,0,-3,CW,City Wide,Service Improvement and Enhancement C04
Water Program,WATER SUSTAINABILITY PROGRAM,STANDBY POWER - ROSEHILL,161,0,0,0,0,0,0,0,0,0,161,CW,City Wide,Service Improvement and Enhancement C04
